HCHO Reading,Current Date,Next Date,Location
1.919914652467399e-05,2019-01-02,2019-01-03,"Bibile, Monaragala"
2.811447935930284e-05,2019-01-03,2019-01-04,"Bibile, Monaragala"
3.747998184385943e-05,2019-01-04,2019-01-05,"Bibile, Monaragala"
-1.7982608793453114e-05,2019-01-05,2019-01-06,"Bibile, Monaragala"
0.0001457836896179,2019-01-06,2019-01-07,"Bibile, Monaragala"
2.8285908025465342e-05,2019-01-07,2019-01-08,"Bibile, Monaragala"
0.0001233664774739677,2019-01-08,2019-01-09,"Bibile, Monaragala"
0.000142085016705,2019-01-09,2019-01-10,"Bibile, Monaragala"
0.00012337839317663908,2019-01-10,2019-01-11,"Bibile, Monaragala"
2.014587947072581e-05,2019-01-11,2019-01-12,"Bibile, Monaragala"
0.000158278766321,2019-01-12,2019-01-13,"Bibile, Monaragala"
0.00012339626673064612,2019-01-13,2019-01-14,"Bibile, Monaragala"
0.0001234022245819818,2019-01-14,2019-01-15,"Bibile, Monaragala"
9.952823849642218e-05,2019-01-15,2019-01-16,"Bibile, Monaragala"
7.484570960514249e-05,2019-01-16,2019-01-17,"Bibile, Monaragala"
7.736112226328797e-05,2019-01-17,2019-01-18,"Bibile, Monaragala"
0.00012342605598732455,2019-01-18,2019-01-19,"Bibile, Monaragala"
3.9881410104076654e-05,2019-01-19,2019-01-20,"Bibile, Monaragala"
0.0001891620203853,2019-01-20,2019-01-21,"Bibile, Monaragala"
0.0001159969926423,2019-01-21,2019-01-22,"Bibile, Monaragala"
0.0001413523623709,2019-01-22,2019-01-23,"Bibile, Monaragala"
7.165379525100222e-05,2019-01-23,2019-01-24,"Bibile, Monaragala"
0.00012346180309533866,2019-01-24,2019-01-25,"Bibile, Monaragala"
-2.8553898678860067e-05,2019-01-25,2019-01-26,"Bibile, Monaragala"
0.00012347371879801005,2019-01-26,2019-01-27,"Bibile, Monaragala"
0.000180567368996,2019-01-27,2019-01-28,"Bibile, Monaragala"
9.113160086427456e-05,2019-01-28,2019-01-29,"Bibile, Monaragala"
7.241739856355372e-05,2019-01-29,2019-01-30,"Bibile, Monaragala"
0.0001234975502033528,2019-01-30,2019-01-31,"Bibile, Monaragala"
4.098144742473462e-05,2019-01-31,2019-02-01,"Bibile, Monaragala"
5.186428352058307e-05,2019-02-01,2019-02-02,"Bibile, Monaragala"
0.00012351542375735984,2019-02-02,2019-02-03,"Bibile, Monaragala"
0.00012352138160869552,2019-02-03,2019-02-04,"Bibile, Monaragala"
0.00012352733946003122,2019-02-04,2019-02-05,"Bibile, Monaragala"
0.0001235332973113669,2019-02-05,2019-02-06,"Bibile, Monaragala"
1.051353380619686e-05,2019-02-06,2019-02-07,"Bibile, Monaragala"
4.076109671524861e-05,2019-02-07,2019-02-08,"Bibile, Monaragala"
7.59353421234044e-05,2019-02-08,2019-02-09,"Bibile, Monaragala"
0.00012355712871670965,2019-02-09,2019-02-10,"Bibile, Monaragala"
7.34858268449358e-05,2019-02-10,2019-02-11,"Bibile, Monaragala"
1.0584419214865193e-05,2019-02-11,2019-02-12,"Bibile, Monaragala"
6.919795120446755e-05,2019-02-12,2019-02-13,"Bibile, Monaragala"
0.00012358096012205237,2019-02-13,2019-02-14,"Bibile, Monaragala"
0.00012358691797338808,2019-02-14,2019-02-15,"Bibile, Monaragala"
0.0001623480638954,2019-02-15,2019-02-16,"Bibile, Monaragala"
2.6644206895973665e-05,2019-02-16,2019-02-17,"Bibile, Monaragala"
0.0001362413198283,2019-02-17,2019-02-18,"Bibile, Monaragala"
5.895095797941796e-05,2019-02-18,2019-02-19,"Bibile, Monaragala"
7.990708924877695e-05,2019-02-19,2019-02-20,"Bibile, Monaragala"
8.647263683420719e-05,2019-02-20,2019-02-21,"Bibile, Monaragala"
6.580490440211678e-05,2019-02-21,2019-02-22,"Bibile, Monaragala"
0.0001173317679715,2019-02-22,2019-02-23,"Bibile, Monaragala"
0.0001372664223727,2019-02-23,2019-02-24,"Bibile, Monaragala"
0.0001183587731956,2019-02-24,2019-02-25,"Bibile, Monaragala"
0.00012365245433808061,2019-02-25,2019-02-26,"Bibile, Monaragala"
-4.671209171647206e-05,2019-02-26,2019-02-27,"Bibile, Monaragala"
0.00012366437004075197,2019-02-27,2019-02-28,"Bibile, Monaragala"
0.00012367032789208765,2019-02-28,2019-03-01,"Bibile, Monaragala"
