NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
"COLOMBO, CE",6.9,79.867,7.0,2019-01-01,0.0,81,89.0,74.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-03,0.0,81,90.0,74.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-04,0.0,81,91.0,72.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-05,0.0,81,90.0,74.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-06,0.0,81,88.0,73.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-07,0.0,81,87.0,73.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-08,0.0,82,90.0,74.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-09,0.0,83,92.0,75.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-10,0.0,82,88.0,75.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-11,0.0,82,89.0,77.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-12,0.0,82,90.0,76.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-13,0.0,82,88.0,76.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-14,0.52,82,89.0,75.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-16,0.0,82,92.0,76.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-18,0.0,79,88.0,74.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-19,0.0,78,85.0,72.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-21,0.0,80,88.0,73.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-22,0.0,80,88.0,73.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-23,0.0,80,87.0,72.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-24,0.0,82,90.0,76.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-25,0.0,83,88.0,78.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-26,0.0,83,89.0,77.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-27,0.02,82,87.0,76.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-28,0.0,80,87.0,75.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-29,0.0,81,90.0,73.0
"COLOMBO, CE",6.9,79.867,7.0,2019-01-31,0.0,83,94.0,74.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-01,0.0,84,91.0,76.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-02,0.0,82,90.0,76.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-05,2.78,80,89.0,75.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-07,0.0,82,88.0,75.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-10,1.44,82,87.0,74.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-11,0.0,82,92.0,76.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-13,0.0,85,94.0,77.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-14,0.0,81,92.0,77.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-15,0.49,82,87.0,78.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-17,0.0,83,88.0,76.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-18,0.0,84,88.0,79.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-19,0.0,84,90.0,78.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-20,0.52,82,90.0,76.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-22,0.0,85,95.0,76.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-23,0.0,82,88.0,74.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-24,0.0,82,87.0,75.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-25,0.0,83,89.0,77.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-26,0.0,84,89.0,78.0
"COLOMBO, CE",6.9,79.867,7.0,2019-02-28,0.0,83,88.0,77.0
"COLOMBO, CE",6.9,79.867,7.0,2019-03-01,0.0,83,89.0,79.0
"COLOMBO, CE",6.9,79.867,7.0,2019-03-04,0.01,82,88.0,75.0
"COLOMBO, CE",6.9,79.867,7.0,2019-03-07,0.0,84,89.0,79.0
"COLOMBO, CE",6.9,79.867,7.0,2019-03-08,0.0,85,90.0,79.0
"COLOMBO, CE",6.9,79.867,7.0,2019-03-10,0.0,84,90.0,76.0
"COLOMBO, CE",6.9,79.867,7.0,2019-03-11,0.0,84,89.0,77.0
"COLOMBO, CE",6.9,79.867,7.0,2019-03-14,0.0,84,90.0,79.0
"COLOMBO, CE",6.9,79.867,7.0,2019-03-15,0.0,85,91.0,79.0
"COLOMBO, CE",6.9,79.867,7.0,2019-03-19,0.91,83,89.0,74.0
"COLOMBO, CE",6.9,79.867,7.0,2019-03-20,0.0,85,91.0,78.0
"COLOMBO, CE",6.9,79.867,7.0,2019-03-24,0.0,84,91.0,76.0
"COLOMBO, CE",6.9,79.867,7.0,2019-03-25,0.0,84,90.0,79.0
"COLOMBO, CE",6.9,79.867,7.0,2019-03-27,0.0,84,91.0,78.0
"COLOMBO, CE",6.9,79.867,7.0,2019-03-28,0.0,84,92.0,78.0
"COLOMBO, CE",6.9,79.867,7.0,2019-03-29,0.0,83,91.0,77.0
"COLOMBO, CE",6.9,79.867,7.0,2019-03-31,0.0,85,90.0,78.0
"COLOMBO, CE",6.9,79.867,7.0,2019-04-01,0.0,85,90.0,78.0
"COLOMBO, CE",6.9,79.867,7.0,2019-04-02,0.0,85,90.0,78.0
"COLOMBO, CE",6.9,79.867,7.0,2019-04-03,0.0,85,91.0,79.0
"COLOMBO, CE",6.9,79.867,7.0,2019-04-05,0.0,87,92.0,79.0
"COLOMBO, CE",6.9,79.867,7.0,2019-04-07,0.0,85,92.0,80.0
"COLOMBO, CE",6.9,79.867,7.0,2019-04-10,0.0,87,92.0,79.0
"COLOMBO, CE",6.9,79.867,7.0,2019-04-12,0.0,86,92.0,79.0
"COLOMBO, CE",6.9,79.867,7.0,2019-04-13,0.19,85,92.0,80.0
"COLOMBO, CE",6.9,79.867,7.0,2019-04-14,0.0,85,92.0,80.0
"COLOMBO, CE",6.9,79.867,7.0,2019-04-20,0.0,81,91.0,78.0
"COLOMBO, CE",6.9,79.867,7.0,2019-04-21,0.4,83,90.0,77.0
"COLOMBO, CE",6.9,79.867,7.0,2019-04-24,0.86,85,91.0,76.0
"COLOMBO, CE",6.9,79.867,7.0,2019-04-27,0.0,84,89.0,80.0
"COLOMBO, CE",6.9,79.867,7.0,2019-04-30,0.43,83,87.0,78.0
"COLOMBO, CE",6.9,79.867,7.0,2019-05-06,0.0,85,90.0,80.0
"COLOMBO, CE",6.9,79.867,7.0,2019-05-07,0.0,86,91.0,80.0
"COLOMBO, CE",6.9,79.867,7.0,2019-05-08,0.0,87,90.0,84.0
"COLOMBO, CE",6.9,79.867,7.0,2019-05-09,0.0,86,91.0,83.0
"COLOMBO, CE",6.9,79.867,7.0,2019-05-10,0.0,87,90.0,82.0
"COLOMBO, CE",6.9,79.867,7.0,2019-05-12,0.41,85,90.0,78.0
"COLOMBO, CE",6.9,79.867,7.0,2019-05-17,0.0,85,90.0,79.0
"COLOMBO, CE",6.9,79.867,7.0,2019-05-19,0.04,86,90.0,78.0
"COLOMBO, CE",6.9,79.867,7.0,2019-05-21,0.0,85,91.0,80.0
"COLOMBO, CE",6.9,79.867,7.0,2019-05-23,0.0,83,90.0,76.0
"COLOMBO, CE",6.9,79.867,7.0,2019-05-25,0.33,83,87.0,77.0
"COLOMBO, CE",6.9,79.867,7.0,2019-05-27,0.1,86,89.0,80.0
"COLOMBO, CE",6.9,79.867,7.0,2019-05-28,0.0,87,90.0,83.0
"COLOMBO, CE",6.9,79.867,7.0,2019-05-31,0.06,85,89.0,79.0
"COLOMBO, CE",6.9,79.867,7.0,2019-06-04,0.64,85,89.0,76.0
"COLOMBO, CE",6.9,79.867,7.0,2019-06-05,0.11,85,89.0,78.0
"COLOMBO, CE",6.9,79.867,7.0,2019-06-08,0.32,84,89.0,77.0
"COLOMBO, CE",6.9,79.867,7.0,2019-06-11,0.28,83,88.0,76.0
"COLOMBO, CE",6.9,79.867,7.0,2019-06-15,0.88,84,89.0,75.0
"COLOMBO, CE",6.9,79.867,7.0,2019-06-16,0.0,85,89.0,81.0
"COLOMBO, CE",6.9,79.867,7.0,2019-06-17,0.18,85,89.0,82.0
"COLOMBO, CE",6.9,79.867,7.0,2019-06-18,0.01,87,90.0,83.0
"COLOMBO, CE",6.9,79.867,7.0,2019-06-23,0.28,84,89.0,76.0
"COLOMBO, CE",6.9,79.867,7.0,2019-06-24,0.09,86,89.0,80.0
"COLOMBO, CE",6.9,79.867,7.0,2019-06-26,0.0,85,89.0,82.0
"COLOMBO, CE",6.9,79.867,7.0,2019-06-27,0.0,86,89.0,82.0
"COLOMBO, CE",6.9,79.867,7.0,2019-06-29,0.0,85,89.0,82.0
"COLOMBO, CE",6.9,79.867,7.0,2019-07-01,0.0,85,89.0,82.0
"COLOMBO, CE",6.9,79.867,7.0,2019-07-03,0.04,85,89.0,80.0
